*abandon 	bỏ rơi
*adapt 	thích nghi
*adopt 	nhận nuôi
*amazing 	tuyệt
*box 	hộp
*buy 	mua
*coat 	áo khoác
*cup 	cái cốc
*double 	2
*enter 	Nhập
*funny 	hài hước
*ground 	mặt đất
*hand 	ban tay
*heaven 	thiên đường
*hell 	địa ngục
*hello 	xin chao b
*hesistate 	do dự
*hi 	xin chao
*hihi 	cười
*king 	vua
*leg 	chân
*ok 	ok
*phone 	điện thoại
*red 	đỏ
*screen 	màn hình
*shoot 	bắn
*supper 	bữa tối
*table 	cái bàn
*test 	thử
*thin 	gần
*what 	cai gi
*what'sup 	co gi hot
*why 	tại sao
*wifi 	wifi
*window 	cua so nay
