*abandon 	bỏ rơi
*adapt 	thích nghi
*adopt 	nhận nuôi
*air 	không khí
*amazing 	tuyệt
*box 	hộp
*buy 	mua
*coat 	áo khoác
*double 	2
*enter 	Nhập
*far 	xa
*funny 	hài hước
*ground 	mặt đất
*heaven 	thiên đường
*hell 	địa ngục
*hello 	xin chao b
*hesistate 	do dự
*hi 	xin chao
*high 	cao nay
*hihi 	cười
*leg 	chân
*ok 	ok
*phone 	điện thoại này
*red 	đỏ
*screen 	màn hình
*shoot 	bắn
*sky 	bau troi nay
*speaker 	loa loa loa loa
*super 	siêu
*supper 	bữa tối
*table 	cái bàn
*test 	thử
*thin 	gần
*umbrella 	cái ô này
*wait 	chờ đợi
*what 	cai gi the
*what'sup 	co gi hot
*why 	tại sao
*wifi 	wifi
*wind 	gió
*window 	cua so nay
*yogurt 	sữa chua
*young 	trẻ
